Persistent Link,State,Title,LCCN,OCLC,ISSN,No. of Issues,First Issue Date,Last Issue Date,More Info
https://chroniclingamerica.loc.gov/lccn/sn92063852/issues/,Michigan," The Detroit tribune. (Detroit, Mich.) 1935-1966 ",sn92063852,26654010.0,2577-350X,1450.0," Sept. 14, 1935 ","Dec. 28, 1963",
https://chroniclingamerica.loc.gov/lccn/sn96076572/issues/,Michigan,Detroiter Abend-Post. (Detroit [Mich.]) 18??-19??,sn96076572,34551049.0,2475-0492,1607.0,"July 27, 1914","Dec. 31, 1918",https://chroniclingamerica.loc.gov/lccn/sn96076572/essays/
https://chroniclingamerica.loc.gov/lccn/sn96076817/issues/,Michigan," The diamond drill. (Crystal Falls, Iron County, Mich.) 1887-1996 ",sn96076817,35051048.0,2475-0131,1593.0,"Jan. 22, 1887","March 10, 1922",https://chroniclingamerica.loc.gov/lccn/sn96076817/essays/
https://chroniclingamerica.loc.gov/lccn/sn97063063/issues/,Michigan," East Saginaw courier. (East Saginaw, Mich.) 1859-18?? ",sn97063063,36278535.0,2375-4230,358.0,"June 16, 1859","Dec. 6, 1866",https://chroniclingamerica.loc.gov/lccn/sn97063063/essays/
https://chroniclingamerica.loc.gov/lccn/sn85033622/issues/,Michigan," The Grand Haven news. [volume] (Grand Haven, Mich.) 1858-18?? ",sn85033622,12115828.0,2332-631X,318.0,"Dec. 22, 1858","Jan. 24, 1866",https://chroniclingamerica.loc.gov/lccn/sn85033622/essays/
https://chroniclingamerica.loc.gov/lccn/sn83016672/issues/,Michigan," Grand Rapids herald. [volume] (Grand Rapids, Mich.) 1892-1959 ",sn83016672,9974974.0,2471-9129,734.0,"Jan. 3, 1892","Jan. 8, 1894",https://chroniclingamerica.loc.gov/lccn/sn83016672/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001061779/issues/,Michigan," Grand Rapids morning telegram. (Grand Rapids, Mich.) 188?-18?? ",sn2001061779,47851417.0,2378-0673,240.0,"Nov. 21, 1884"," Sept. 4, 1885 ",https://chroniclingamerica.loc.gov/lccn/sn2001061779/essays/
https://chroniclingamerica.loc.gov/lccn/sn85026466/issues/,Michigan," Grand River times. [volume] (Grand Haven, Mich.) 1851-18?? ",sn85026466,12248752.0,2332-6255,311.0,"July 2, 1851","Oct. 28, 1857",https://chroniclingamerica.loc.gov/lccn/sn85026466/essays/
https://chroniclingamerica.loc.gov/lccn/sn85033637/issues/,Michigan," The Hillsdale standard. [volume] (Hillsdale, Mich.) 1851-1909 ",sn85033637,12115963.0,2471-9153,978.0," Sept. 9, 1851 ","March 28, 1899",https://chroniclingamerica.loc.gov/lccn/sn85033637/essays/
https://chroniclingamerica.loc.gov/lccn/sn89080032/issues/,Michigan," Hillsdale Whig standard. (Hillsdale, Mich.) 1846-1851 ",sn89080032,22375782.0,2471-9226,256.0,"June 30, 1846","Aug. 26, 1851",https://chroniclingamerica.loc.gov/lccn/sn89080032/essays/
https://chroniclingamerica.loc.gov/lccn/sn96077142/issues/,Michigan," The L&#39;Anse sentinel. (L&#39;Anse, L.S., Mich.) 18??-current ",sn96077142,35732277.0,2572-0384,1722.0," Sept. 27, 1890 ","March 7, 1924",
https://chroniclingamerica.loc.gov/lccn/sn85026421/issues/,Michigan," The Lake County star. [volume] (Chase, Mich.) 1873-current ",sn85026421,12219612.0,2472-0178,689.0,"May 1, 1873"," Sept. 12, 1889 ",https://chroniclingamerica.loc.gov/lccn/sn85026421/essays/
https://chroniclingamerica.loc.gov/lccn/sn83016318/issues/,Michigan," The Lansing state Republican. [volume] (Lansing, Mich.) 1855-1874 ",sn83016318,210819805.0,,395.0,"Jan. 4, 1859","Aug. 29, 1866",https://chroniclingamerica.loc.gov/lccn/sn83016318/essays/
https://chroniclingamerica.loc.gov/lccn/sn83045324/issues/,Michigan," The Michigan chronicle. [volume] (Detroit, Mich.) 1936-current ",sn83045324,2264134.0,1949-9620,227.0,"Jan. 14, 1939","Dec. 29, 1945",https://chroniclingamerica.loc.gov/lccn/sn83045324/essays/
https://chroniclingamerica.loc.gov/lccn/sn85026455/issues/,Michigan," Northern tribune. [volume] (Cheboygan, Mich.) 1875-1885 ",sn85026455,12247750.0,2332-6239,485.0,"July 17, 1875","July 2, 1885",https://chroniclingamerica.loc.gov/lccn/sn85026455/essays/
https://chroniclingamerica.loc.gov/lccn/sn2003060105/issues/,Michigan," The Owosso times. (Owosso, Mich.) 18??-1882 ",sn2003060105,52447040.0,2375-4257,36.0,"July 15, 1881","March 24, 1882",https://chroniclingamerica.loc.gov/lccn/sn2003060105/essays/
https://chroniclingamerica.loc.gov/lccn/sn97070614/issues/,Michigan," The Owosso times. (Owosso, Mich.) 1897-1926 ",sn97070614,38491118.0,2375-4311,1213.0,"Feb. 26, 1897"," Sept. 22, 1922 ",https://chroniclingamerica.loc.gov/lccn/sn97070614/essays/
https://chroniclingamerica.loc.gov/lccn/sn83035526/issues/,Michigan," Radnička borba = Workers&#39; struggle. [volume] ([New York, N.Y.]) 1907-1970 ",sn83035526,10001933.0,2641-015X,258.0,"Jan. 16, 1941","Jan. 17, 1946",https://chroniclingamerica.loc.gov/lccn/sn83035526/essays/
https://chroniclingamerica.loc.gov/lccn/sn83045399/issues/,Michigan," Românul American. [volume] (Detroit, Mich.) 1939-1968 ",sn83045399,9472534.0,2688-9226,873.0,"Jan. 3, 1942","Dec. 28, 1963",
https://chroniclingamerica.loc.gov/lccn/sn83035274/issues/,Michigan," Siebenbürgisch-Amerikanisches Volksblatt. [volume] (Cleveland, Ohio) 1917-1971 ",sn83035274,9659075.0,2689-0658,770.0,"July 6, 1939","April 29, 1954",https://chroniclingamerica.loc.gov/lccn/sn83035274/essays/
https://chroniclingamerica.loc.gov/lccn/sn98066392/issues/,Michigan," Telegram-herald. ([Grand Rapids, Mich.) 18??-1892 ",sn98066392,39681809.0,2378-0703,1955.0,"April 17, 1886","Jan. 2, 1892",https://chroniclingamerica.loc.gov/lccn/sn98066392/essays/
https://chroniclingamerica.loc.gov/lccn/sn96077385/issues/,Michigan," The times. (Owosso, Mich.) 1882-1897 ",sn96077385,36114687.0,2375-4281,726.0,"March 31, 1882","Feb. 19, 1897",https://chroniclingamerica.loc.gov/lccn/sn96077385/essays/
https://chroniclingamerica.loc.gov/lccn/sn96076588/issues/,Michigan," The tribune independent of Michigan. [volume] (Detroit, Mich.) 1933-1935 ",sn96076588,5998213.0,2577-2562,79.0,"Dec. 30, 1933"," Sept. 7, 1935 ",
https://chroniclingamerica.loc.gov/lccn/sn85033781/issues/,Michigan," The true northerner. [volume] (Paw Paw, Mich.) 1855-1920 ",sn85033781,12264798.0,2375-4346,2284.0,"Jan. 14, 1858","Dec. 12, 1919",https://chroniclingamerica.loc.gov/lccn/sn85033781/essays/
https://chroniclingamerica.loc.gov/lccn/42047197/issues/,Michigan," United automobile worker. [volume] (Detroit, Mich.) 1936-1957 ",42047197,2268881.0,2769-3201,404.0,"May 1, 1936","Feb. 1, 1951",https://chroniclingamerica.loc.gov/lccn/42047197/essays/
https://chroniclingamerica.loc.gov/lccn/sn2006060001/issues/,Michigan," Weekly expositor. (Brockway Centre, Mich.) 1882-1894 ",sn2006060001,64561715.0,2332-6190,644.0,"May 18, 1882"," Sept. 14, 1894 ",https://chroniclingamerica.loc.gov/lccn/sn2006060001/essays/
https://chroniclingamerica.loc.gov/lccn/sn89077510/issues/,Michigan,The workingman&#39;s advocate. [volume] (Chicago [Ill.]) 1864-1877,sn89077510,20159962.0,2694-1317,415.0," Sept. 17, 1864 ","Oct. 13, 1877",https://chroniclingamerica.loc.gov/lccn/sn89077510/essays/
https://chroniclingamerica.loc.gov/lccn/sn97063232/issues/,Michigan," The Wyandotte herald. (Wyandotte, Mich.) 1879-1943 ",sn97063232,36466100.0,2769-4224,230.0,"Aug. 26, 1938","Feb. 19, 1943",
https://chroniclingamerica.loc.gov/lccn/sn97063233/issues/,Michigan," The Wyandotte news-herald. (Wyandotte, Mich.) 1943-1963 ",sn97063233,36466316.0,2769-4259,148.0,"Oct. 12, 1944","March 28, 1946",https://chroniclingamerica.loc.gov/lccn/sn97063233/essays/
https://chroniclingamerica.loc.gov/lccn/sn98066406/issues/,Michigan," The Yale expositor. (Yale, St. Clair County, Mich.) 1894-current ",sn98066406,39893007.0,2375-1983,1473.0," Sept. 21, 1894 ","Dec. 28, 1922",https://chroniclingamerica.loc.gov/lccn/sn98066406/essays/
https://chroniclingamerica.loc.gov/lccn/sn97063183/issues/,Michigan," The Ypsilanti daily press. (Ypsilanti, Mich.) 1928-1962 ",sn97063183,36505823.0,2769-4194,1727.0," Sept. 2, 1940 ","April 15, 1946",https://chroniclingamerica.loc.gov/lccn/sn97063183/essays/
https://chroniclingamerica.loc.gov/lccn/sn85026593/issues/,Michigan," Ypsilanti sentinel. [volume] (Ypsilanti, Washtenaw Co., Mich.) 1843-1900 ",sn85026593,12289161.0,2332-6271,144.0,"Dec. 27, 1843","April 12, 1848",https://chroniclingamerica.loc.gov/lccn/sn85026593/essays/
,,,,,,,,,
https://chroniclingamerica.loc.gov/lccn/sn90059692/issues/,Minnesota," Allarm. (Minneapolis, Minn.) 1915-19?? ",sn90059692,24608436.0,2640-5946,38.0,"Dec. 1, 1915","May 1, 1918",https://chroniclingamerica.loc.gov/lccn/sn90059692/essays/
https://chroniclingamerica.loc.gov/lccn/sn78004468/issues/,Minnesota,The American Jewish world. [volume] (Minneapolis ;) 1915-current,sn78004468,1480115.0,0002-9084,381.0," Sept. 10, 1915 ","Dec. 29, 1922",https://chroniclingamerica.loc.gov/lccn/sn78004468/essays/
https://chroniclingamerica.loc.gov/lccn/sn85025587/issues/,Minnesota," The anti-monopolist. [volume] (Saint Paul, Minn.) 1874-1878 ",sn85025587,11804785.0,2694-3352,229.0,"July 16, 1874","Dec. 12, 1878",https://chroniclingamerica.loc.gov/lccn/sn85025587/essays/
