Persistent Link,State,Title,LCCN,OCLC,ISSN,No. of Issues,First Issue Date,Last Issue Date,More Info
https://chroniclingamerica.loc.gov/lccn/sn86090947/issues/,Georgia," Atlanta semi-weekly journal. (Atlanta, Ga.) 1898-1920 ",sn86090947,15233509.0,2768-6663,953.0," Sept. 10, 1901 ","March 5, 1920",https://chroniclingamerica.loc.gov/lccn/sn86090947/essays/
https://chroniclingamerica.loc.gov/lccn/sn89053713/issues/,Georgia," Atlanta tri-weekly journal. [volume] (Atlanta, Ga.) 1920-19?? ",sn89053713,20076854.0,,740.0,"March 9, 1920","Dec. 30, 1924",https://chroniclingamerica.loc.gov/lccn/sn89053713/essays/
https://chroniclingamerica.loc.gov/lccn/sn83016240/issues/,Georgia," The Augusta union. [volume] (Augusta, Ga.) 1889-19?? ",sn83016240,2715348.0,,1.0,"Jan. 27, 1900","Jan. 27, 1900",https://chroniclingamerica.loc.gov/lccn/sn83016240/essays/
https://chroniclingamerica.loc.gov/lccn/sn90052142/issues/,Georgia," The Brunswick daily news. [volume] (Brunswick, Ga.) 1903-1906 ",sn90052142,21681384.0,2693-5406,532.0,"May 8, 1903"," Sept. 29, 1906 ",https://chroniclingamerica.loc.gov/lccn/sn90052142/essays/
https://chroniclingamerica.loc.gov/lccn/sn90052141/issues/,Georgia," The Brunswick news. [volume] (Brunswick, Ga.) 1901-1903 ",sn90052141,21681389.0,2693-5317,293.0,"Jan. 11, 1902","May 7, 1903",https://chroniclingamerica.loc.gov/lccn/sn90052141/essays/
https://chroniclingamerica.loc.gov/lccn/sn90052143/issues/,Georgia," The Brunswick news. [volume] (Brunswick, Ga.) 1906-2016 ",sn90052143,21707708.0,1090-3895,3194.0,"Oct. 2, 1906","Dec. 25, 1922",https://chroniclingamerica.loc.gov/lccn/sn90052143/essays/
https://chroniclingamerica.loc.gov/lccn/sn90052411/issues/,Georgia," The Brunswick times-call. [volume] (Brunswick, Ga.) 1900-1902 ",sn90052411,21681394.0,,410.0,"Aug. 16, 1900","Jan. 10, 1902",https://chroniclingamerica.loc.gov/lccn/sn90052411/essays/
https://chroniclingamerica.loc.gov/lccn/sn90052410/issues/,Georgia," The Brunswick times. [volume] (Brunswick, Ga.) 188?-1900 ",sn90052410,21663160.0,2693-5244,548.0,"April 25, 1889","Aug. 15, 1900",https://chroniclingamerica.loc.gov/lccn/sn90052410/essays/
https://chroniclingamerica.loc.gov/lccn/sn82015209/issues/,Georgia," The Chattanooga Daily Rebel. [volume] (Chattanooga, Tenn.) 1862-1864 ",sn82015209,8807897.0,2328-5826,228.0,"Aug. 9, 1862","April 22, 1864",https://chroniclingamerica.loc.gov/lccn/sn82015209/essays/
https://chroniclingamerica.loc.gov/lccn/sn83020874/issues/,Georgia," Cherokee phoenix, and Indians&#39; advocate. [volume] (New Echota [Ga.]) 1829-1834 ",sn83020874,9608318.0,2574-5727,61.0,"March 4, 1829","Oct. 19, 1833",https://chroniclingamerica.loc.gov/lccn/sn83020874/essays/
https://chroniclingamerica.loc.gov/lccn/sn83020866/issues/,Georgia,Cherokee phoenix. [volume] (New Echota [Ga.]) 1828-1829,sn83020866,9600630.0,2574-5700,21.0,"March 6, 1828","Feb. 4, 1829",https://chroniclingamerica.loc.gov/lccn/sn83020866/essays/
https://chroniclingamerica.loc.gov/lccn/sn82014351/issues/,Georgia," The colored American. [volume] (Augusta, Ga.) 1865-1866 ",sn82014351,8780206.0,,3.0,"Dec. 30, 1865","Jan. 13, 1866",https://chroniclingamerica.loc.gov/lccn/sn82014351/essays/
https://chroniclingamerica.loc.gov/lccn/sn83016189/issues/,Georgia," Columbus chronicle. [volume] (Columbus, Ga.) 1895-1900 ",sn83016189,9613829.0,,1.0,"Jan. 27, 1900","Jan. 27, 1900",https://chroniclingamerica.loc.gov/lccn/sn83016189/essays/
https://chroniclingamerica.loc.gov/lccn/sn89053138/issues/,Georgia," The Cordele dispatch. (Cordele, Ga.) 19??-1971 ",sn89053138,19539192.0,,124.0,"Jan. 5, 1916","May 30, 1917",
