Persistent Link,State,Title,LCCN,OCLC,ISSN,No. of Issues,First Issue Date,Last Issue Date,More Info
https://chroniclingamerica.loc.gov/lccn/sn94056832/issues/,New Mexico," The Fort Sumner review. [volume] (Fort Sumner, Guadalupe County, N.M.) 190?-1947 ",sn94056832,29950102.0,2375-6136,52.0,"July 17, 1909","Dec. 16, 1911",https://chroniclingamerica.loc.gov/lccn/sn94056832/essays/
https://chroniclingamerica.loc.gov/lccn/sn92070445/issues/,New Mexico," Golden era. (Lincoln, N.M.) 1884-188? ",sn92070445,26154695.0,2375-6152,83.0,"July 17, 1884","Feb. 18, 1886",https://chroniclingamerica.loc.gov/lccn/sn92070445/essays/
https://chroniclingamerica.loc.gov/lccn/sn93061379/issues/,New Mexico," El Hispano-Americano. (Belen, Nuevo México) 19??-19?? ",sn93061379,28350566.0,2572-0465,153.0,"June 3, 1916","Dec. 24, 1921",
https://chroniclingamerica.loc.gov/lccn/sn94056852/issues/,New Mexico," El independiente. [volume] (Las Vegas, Nuevo México) 1894-19?? ",sn94056852,30104500.0,2375-6179,761.0,"March 24, 1894","Jan. 30, 1913",https://chroniclingamerica.loc.gov/lccn/sn94056852/essays/
https://chroniclingamerica.loc.gov/lccn/sn93061371/issues/,New Mexico," The Kenna record. (Kenna, Roosevelt County, N.M.) 190?-1924 ",sn93061371,27316866.0,2330-3522,390.0,"Jan. 14, 1910","Nov. 11, 1921",https://chroniclingamerica.loc.gov/lccn/sn93061371/essays/
https://chroniclingamerica.loc.gov/lccn/sn90051703/issues/,New Mexico," Las Vegas daily gazette. ([Las Vegas, N.M.]) 1881-1886 ",sn90051703,22419209.0,2375-6195,1118.0,"June 28, 1881","May 2, 1886",https://chroniclingamerica.loc.gov/lccn/sn90051703/essays/
https://chroniclingamerica.loc.gov/lccn/sn86063592/issues/,New Mexico," Las Vegas daily optic. [volume] (Las Vegas, N.M.) 1880-1908 ",sn86063592,7880976.0,2472-1816,2462.0,"March 6, 1896","April 29, 1907",https://chroniclingamerica.loc.gov/lccn/sn86063592/essays/
https://chroniclingamerica.loc.gov/lccn/sn96061021/issues/,New Mexico," Las Vegas free press. (East Las Vegas, N.M.) 1891-1??? ",sn96061021,34470723.0,2330-376X,266.0,"Jan. 2, 1892","Nov. 18, 1892",https://chroniclingamerica.loc.gov/lccn/sn96061021/essays/
https://chroniclingamerica.loc.gov/lccn/sn93061633/issues/,New Mexico,The Las Vegas gazette. (Las Vegas [N.M.]) 1886-1886,sn93061633,27941671.0,2375-7108,30.0,"May 3, 1886","June 6, 1886",https://chroniclingamerica.loc.gov/lccn/sn93061633/essays/
https://chroniclingamerica.loc.gov/lccn/sn84027457/issues/,New Mexico," Las Vegas gazette. [volume] (Las Vegas, N.M.) 1872-18?? ",sn84027457,11156592.0,2375-6233,248.0,"Oct. 5, 1872","Dec. 28, 1878",https://chroniclingamerica.loc.gov/lccn/sn84027457/essays/
https://chroniclingamerica.loc.gov/lccn/sn93061631/issues/,New Mexico," Las Vegas morning gazette. (Las Vegas, N.M.) 18??-1881 ",sn93061631,27941591.0,2375-7124,191.0," Sept. 16, 1880 ","June 26, 1881",https://chroniclingamerica.loc.gov/lccn/sn93061631/essays/
https://chroniclingamerica.loc.gov/lccn/sn92070417/issues/,New Mexico," Las Vegas optic. (East Las Vegas, N.M.) 1908-1921 ",sn92070417,26068437.0,2472-1859,1385.0,"March 19, 1909","Dec. 31, 1914",https://chroniclingamerica.loc.gov/lccn/sn92070417/essays/
